id,date,home_team_score,period,postseason,season,status,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name,outcome,latitude,longitude
33876,2016-04-17,106,4,True,2015,Final,101,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,WIN,41.496389,-81.688056
33879,2016-04-20,107,4,True,2015,Final,90,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,WIN,41.496389,-81.688056
33881,2016-04-22,91,4,True,2015,Final,101,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,WIN,42.341111,-83.055
33883,2016-04-24,98,4,True,2015,Final,100,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,WIN,42.341111,-83.055
34016,2016-05-02,104,4,True,2015,Final,93,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,WIN,41.496389,-81.688056
33892,2016-05-04,123,4,True,2015,Final,98,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,WIN,41.496389,-81.688056
33894,2016-05-06,108,4,True,2015,Final,121,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,WIN,33.75729,-84.397331
34020,2016-05-08,99,4,True,2015,Final,100,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,WIN,33.75729,-84.397331
33903,2016-05-17,115,4,True,2015,Final,84,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,WIN,41.496389,-81.688056
33905,2016-05-19,108,4,True,2015,Final,89,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,WIN,41.496389,-81.688056
