id,date,home_team_score,period,postseason,season,status,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name,outcome,latitude,longitude
31090,2015-10-27,97,4,False,2015,Final,95,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,LOSS,41.880692,-87.67437
31093,2015-10-28,76,4,False,2015,Final,106,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,WIN,35.138056,-90.050556
28882,2015-10-30,102,4,False,2015,Final,92,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,16,MIA,Miami,East,Southeast,Miami Heat,Heat,WIN,41.496389,-81.688056
28664,2015-11-02,100,4,False,2015,Final,107,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,WIN,39.901111,-75.171944
28666,2015-11-04,96,4,False,2015,Final,86,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,WIN,41.496389,-81.688056
31103,2015-11-06,108,4,False,2015,Final,102,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,WIN,41.496389,-81.688056
29033,2015-11-08,101,4,False,2015,Final,97,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,WIN,41.496389,-81.688056
27830,2015-11-10,118,4,False,2015,Final,114,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,WIN,41.496389,-81.688056
30426,2015-11-13,84,4,False,2015,Final,90,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,WIN,40.750556,-73.993611
29839,2015-11-14,108,4,False,2015,Final,105,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,LOSS,43.0389,-87.9065
