id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game.id,game.date,game.home_team_id,game.home_team_score,game.period,game.postseason,game.season,game.status,game.time,game.visitor_team_id,game.visitor_team_score,player.id,player.first_name,player.last_name,player.position,player.team_id,player.weight_pounds,team.id,team.abbreviation,team.city,team.name
741155,4.0,0.0,3.0,0.0,2.0,0.0,0.375,8.0,3.0,0.0,0.0,0.0,20:12,1.0,1.0,6.0,4.0,0.0,1.0,31090,2015-10-27,5,97,4,False,2015,Final, ,6,95,123,Matthew,Dellavedova,G,26,200.0,6,CLE,Cleveland,Cavaliers
741154,0.0,0.0,10.0,0.0,0.0,0.0,0.25,4.0,1.0,0.0,0.0,0.0,24:55,2.0,4.0,2.0,12.0,1.0,1.0,31090,2015-10-27,5,97,4,False,2015,Final, ,6,95,444,Tristan,Thompson,C-F,6,238.0,6,CLE,Cleveland,Cavaliers
741151,3.0,0.0,4.0,0.0,2.0,0.0,0.3,10.0,3.0,0.5,4.0,2.0,30:27,1.0,4.0,8.0,5.0,1.0,0.0,31090,2015-10-27,5,97,4,False,2015,Final, ,6,95,424,JR,Smith,G-F,14,225.0,6,CLE,Cleveland,Cavaliers
741150,2.0,2.0,3.0,0.0,0.0,0.0,0.333,6.0,2.0,0.5,2.0,1.0,20:54,2.0,2.0,5.0,5.0,0.0,3.0,31090,2015-10-27,5,97,4,False,2015,Final, ,6,95,332,Timofey,Mozgov,C,22,275.0,6,CLE,Cleveland,Cavaliers
741149,4.0,2.0,4.0,0.429,7.0,3.0,0.353,17.0,6.0,1.0,3.0,3.0,34:49,4.0,0.0,18.0,8.0,0.0,2.0,31090,2015-10-27,5,97,4,False,2015,Final, ,6,95,285,Kevin,Love,F-C,16,251.0,6,CLE,Cleveland,Cavaliers
741148,5.0,0.0,10.0,0.2,5.0,1.0,0.545,22.0,12.0,0.0,3.0,0.0,36:04,0.0,3.0,25.0,10.0,1.0,1.0,31090,2015-10-27,5,97,4,False,2015,Final, ,6,95,237,LeBron,James,F,14,250.0,6,CLE,Cleveland,Cavaliers
741512,5.0,0.0,6.0,0.0,3.0,0.0,0.308,13.0,4.0,0.5,8.0,4.0,30:48,1.0,1.0,12.0,7.0,3.0,3.0,31093,2015-10-28,15,76,4,False,2015,Final, ,6,106,237,LeBron,James,F,14,250.0,6,CLE,Cleveland,Cavaliers
741513,3.0,0.0,11.0,0.286,7.0,2.0,0.5,14.0,7.0,1.0,1.0,1.0,28:51,2.0,2.0,17.0,13.0,0.0,3.0,31093,2015-10-28,15,76,4,False,2015,Final, ,6,106,285,Kevin,Love,F-C,16,251.0,6,CLE,Cleveland,Cavaliers
741514,0.0,0.0,3.0,0.0,1.0,0.0,0.5,8.0,4.0,1.0,1.0,1.0,25:04,1.0,2.0,9.0,4.0,0.0,2.0,31093,2015-10-28,15,76,4,False,2015,Final, ,6,106,332,Timofey,Mozgov,C,22,275.0,6,CLE,Cleveland,Cavaliers
741515,7.0,0.0,5.0,0.5,2.0,1.0,0.4,10.0,4.0,0.0,0.0,0.0,33:51,2.0,2.0,9.0,7.0,1.0,1.0,31093,2015-10-28,15,76,4,False,2015,Final, ,6,106,424,JR,Smith,G-F,14,225.0,6,CLE,Cleveland,Cavaliers
