id,date,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,total_min
27820,2015-10-28,6.0,0.0,5.0,0.5,2.0,1.0,0.412,17.0,7.0,0.625,16.0,10.0,35:52,0.0,2.0,25.0,5.0,2.0,2.0,35.86666666666667
27689,2015-10-30,6.0,0.0,6.0,0.25,4.0,1.0,0.333,15.0,5.0,0.857,14.0,12.0,34:45,1.0,4.0,23.0,7.0,2.0,3.0,34.75
28885,2015-11-01,4.0,1.0,1.0,0.0,1.0,0.0,0.538,13.0,7.0,0.5,2.0,1.0,37:17,0.0,1.0,15.0,1.0,1.0,2.0,37.28333333333333
29251,2015-11-03,2.0,0.0,3.0,0.0,0.0,0.0,0.462,13.0,6.0,1.0,8.0,8.0,28:23,1.0,3.0,20.0,4.0,1.0,3.0,28.383333333333333
31100,2015-11-04,3.0,0.0,4.0,0.0,0.0,0.0,0.389,18.0,7.0,0.933,15.0,14.0,38:35,1.0,1.0,28.0,5.0,2.0,2.0,38.583333333333336
29940,2015-11-06,2.0,2.0,4.0,0.0,1.0,0.0,0.467,15.0,7.0,0.75,12.0,9.0,41:23,3.0,1.0,23.0,7.0,0.0,2.0,41.38333333333333
31105,2015-11-08,3.0,0.0,1.0,0.0,3.0,0.0,0.357,14.0,5.0,1.0,6.0,6.0,35:30,0.0,3.0,16.0,1.0,0.0,6.0,35.5
29414,2015-11-10,2.0,0.0,5.0,0.0,1.0,0.0,0.478,23.0,11.0,0.778,9.0,7.0,38:41,0.0,1.0,29.0,5.0,1.0,1.0,38.68333333333333
29036,2015-11-11,2.0,0.0,2.0,1.0,1.0,1.0,0.444,9.0,4.0,0.833,6.0,5.0,27:24,2.0,1.0,14.0,4.0,0.0,0.0,27.4
31109,2015-11-13,11.0,0.0,6.0,0.0,1.0,0.0,0.417,12.0,5.0,0.833,6.0,5.0,34:54,0.0,1.0,15.0,6.0,1.0,2.0,34.9
29418,2015-11-15,5.0,0.0,4.0,0.0,3.0,0.0,0.409,22.0,9.0,0.75,8.0,6.0,36:32,0.0,0.0,24.0,4.0,5.0,4.0,36.53333333333333
29841,2015-11-17,6.0,0.0,5.0,0.0,0.0,0.0,0.409,22.0,9.0,0.769,13.0,10.0,39:10,0.0,3.0,28.0,5.0,1.0,4.0,39.166666666666664
30571,2015-11-18,6.0,0.0,3.0,0.0,1.0,0.0,0.4,15.0,6.0,1.0,2.0,2.0,34:36,0.0,3.0,14.0,3.0,1.0,2.0,34.6
31112,2015-11-20,2.0,0.0,2.0,0.5,2.0,1.0,0.417,12.0,5.0,0.875,8.0,7.0,33:43,2.0,2.0,18.0,4.0,1.0,3.0,33.71666666666667
29424,2015-11-22,3.0,0.0,5.0,0.0,2.0,0.0,0.25,16.0,4.0,0.929,14.0,13.0,40:15,1.0,2.0,21.0,6.0,0.0,4.0,40.25
32177,2015-11-25,4.0,1.0,3.0,1.0,1.0,1.0,0.438,16.0,7.0,0.714,7.0,5.0,40:19,0.0,2.0,20.0,3.0,1.0,1.0,40.31666666666667
32572,2015-11-28,2.0,0.0,3.0,0.5,2.0,1.0,0.4,20.0,8.0,0.75,4.0,3.0,38:22,0.0,2.0,20.0,3.0,0.0,4.0,38.36666666666667
29431,2015-11-29,7.0,1.0,3.0,0.0,2.0,0.0,0.55,20.0,11.0,1.0,7.0,7.0,37:02,0.0,4.0,29.0,3.0,0.0,1.0,37.03333333333333
32742,2015-12-02,2.0,1.0,3.0,1.0,1.0,1.0,0.438,16.0,7.0,0.667,3.0,2.0,35:36,1.0,2.0,17.0,4.0,0.0,2.0,35.6
27397,2015-12-03,5.0,0.0,3.0,0.0,2.0,0.0,0.538,26.0,14.0,1.0,6.0,6.0,38:12,2.0,2.0,34.0,5.0,0.0,0.0,38.2
29063,2015-12-05,5.0,0.0,2.0,0.0,1.0,0.0,0.263,19.0,5.0,0.75,8.0,6.0,36:47,1.0,2.0,16.0,3.0,0.0,2.0,36.78333333333333
32188,2015-12-07,6.0,0.0,5.0,0.0,1.0,0.0,0.5,14.0,7.0,0.667,3.0,2.0,35:03,0.0,0.0,16.0,5.0,0.0,2.0,35.05
27306,2015-12-09,6.0,1.0,3.0,0.0,0.0,0.0,0.667,15.0,10.0,1.0,8.0,8.0,37:28,1.0,3.0,28.0,4.0,1.0,6.0,37.46666666666667
29439,2015-12-11,1.0,1.0,3.0,0.0,1.0,0.0,0.471,17.0,8.0,0.917,12.0,11.0,34:50,0.0,3.0,27.0,3.0,2.0,0.0,34.833333333333336
27309,2015-12-13,2.0,0.0,7.0,0.0,1.0,0.0,0.429,14.0,6.0,0.929,14.0,13.0,33:44,1.0,0.0,25.0,8.0,1.0,1.0,33.733333333333334
32445,2015-12-14,2.0,1.0,5.0,0.5,4.0,2.0,0.389,18.0,7.0,0.8,5.0,4.0,37:33,0.0,2.0,20.0,5.0,2.0,2.0,37.55
27693,2015-12-17,5.0,1.0,4.0,0.0,1.0,0.0,0.48,25.0,12.0,0.875,8.0,7.0,44:08,0.0,2.0,31.0,4.0,1.0,1.0,44.13333333333333
29071,2015-12-18,4.0,0.0,4.0,0.0,1.0,0.0,0.588,17.0,10.0,0.769,13.0,10.0,39:44,0.0,0.0,30.0,4.0,2.0,3.0,39.733333333333334
32197,2015-12-20,1.0,0.0,5.0,0.0,1.0,0.0,0.417,24.0,10.0,1.0,8.0,8.0,35:21,2.0,4.0,28.0,7.0,2.0,3.0,35.35
32449,2015-12-22,4.0,0.0,3.0,0.667,3.0,2.0,0.588,17.0,10.0,0.75,8.0,6.0,39:55,1.0,5.0,28.0,4.0,0.0,7.0,39.916666666666664
29450,2015-12-26,8.0,0.0,3.0,0.25,4.0,1.0,0.5,14.0,7.0,0.875,8.0,7.0,33:17,0.0,3.0,22.0,3.0,1.0,3.0,33.28333333333333
28199,2015-12-28,8.0,0.0,5.0,0.0,1.0,0.0,0.5,14.0,7.0,0.625,8.0,5.0,35:46,3.0,1.0,19.0,8.0,1.0,1.0,35.766666666666666
28201,2015-12-30,5.0,2.0,4.0,0.333,3.0,1.0,0.375,24.0,9.0,1.0,15.0,15.0,36:56,2.0,2.0,34.0,6.0,2.0,3.0,36.93333333333333
27704,2016-01-01,1.0,0.0,0.0,1.0,2.0,2.0,0.389,18.0,7.0,1.0,7.0,7.0,36:39,0.0,2.0,23.0,0.0,1.0,1.0,36.65
29456,2016-01-03,4.0,0.0,1.0,0.5,6.0,3.0,0.412,17.0,7.0,0.875,8.0,7.0,35:25,1.0,3.0,24.0,2.0,0.0,0.0,35.416666666666664
27424,2016-01-04,4.0,0.0,1.0,0.0,1.0,0.0,0.533,15.0,8.0,0.6,5.0,3.0,35:28,1.0,4.0,19.0,2.0,1.0,3.0,35.46666666666667
32033,2016-01-06,5.0,0.0,3.0,0.5,2.0,1.0,0.385,13.0,5.0,0.8,5.0,4.0,36:25,1.0,2.0,15.0,4.0,2.0,4.0,36.416666666666664
27427,2016-01-08,1.0,1.0,7.0,0.25,4.0,1.0,0.458,24.0,11.0,0.923,13.0,12.0,39:36,1.0,0.0,35.0,8.0,1.0,1.0,39.6
31641,2016-01-09,5.0,0.0,7.0,0.0,2.0,0.0,0.529,17.0,9.0,0.5,2.0,1.0,37:00,0.0,0.0,19.0,7.0,0.0,2.0,37.0
29262,2016-01-14,4.0,1.0,9.0,0.0,2.0,0.0,0.211,19.0,4.0,0.833,6.0,5.0,39:45,2.0,2.0,13.0,11.0,1.0,2.0,39.75
29265,2016-01-18,5.0,0.0,2.0,0.0,2.0,0.0,0.48,25.0,12.0,0.75,8.0,6.0,33:55,2.0,2.0,30.0,4.0,2.0,0.0,33.916666666666664
29471,2016-01-20,6.0,0.0,2.0,0.0,1.0,0.0,0.52,25.0,13.0,0.889,9.0,8.0,37:58,0.0,1.0,34.0,2.0,1.0,2.0,37.96666666666667
32473,2016-01-22,4.0,0.0,5.0,0.8,5.0,4.0,0.48,25.0,12.0,0.833,6.0,5.0,35:47,1.0,3.0,33.0,6.0,1.0,1.0,35.78333333333333
27440,2016-01-24,2.0,0.0,4.0,1.0,2.0,2.0,0.353,17.0,6.0,1.0,4.0,4.0,33:06,1.0,2.0,18.0,5.0,0.0,1.0,33.1
29482,2016-01-26,4.0,0.0,4.0,0.333,3.0,1.0,0.385,13.0,5.0,0.75,8.0,6.0,33:49,0.0,2.0,17.0,4.0,1.0,4.0,33.81666666666667
28081,2016-01-28,4.0,2.0,1.0,0.333,3.0,1.0,0.5,18.0,9.0,0.875,8.0,7.0,36:17,0.0,4.0,26.0,1.0,1.0,3.0,36.28333333333333
27713,2016-01-30,4.0,0.0,1.0,0.0,1.0,0.0,0.476,21.0,10.0,0.9,10.0,9.0,33:38,2.0,4.0,29.0,3.0,2.0,4.0,33.63333333333333
27715,2016-02-01,4.0,0.0,1.0,0.0,0.0,0.0,0.5,14.0,7.0,0.909,11.0,10.0,28:05,0.0,1.0,24.0,1.0,1.0,0.0,28.083333333333332
28211,2016-02-02,3.0,1.0,2.0,0.2,5.0,1.0,0.5,16.0,8.0,0.556,9.0,5.0,33:41,0.0,3.0,22.0,2.0,1.0,3.0,33.68333333333333
27554,2016-02-04,4.0,0.0,3.0,1.0,1.0,1.0,0.44,25.0,11.0,0.667,9.0,6.0,35:19,2.0,0.0,29.0,5.0,1.0,1.0,35.31666666666667
28930,2016-02-08,6.0,0.0,6.0,0.0,1.0,0.0,0.357,14.0,5.0,0.875,8.0,7.0,33:16,1.0,3.0,17.0,7.0,1.0,4.0,33.266666666666666
27559,2016-02-10,4.0,1.0,2.0,1.0,3.0,3.0,0.579,19.0,11.0,0.769,13.0,10.0,37:16,1.0,5.0,35.0,3.0,0.0,1.0,37.266666666666666
28111,2016-02-19,3.0,0.0,3.0,0.333,3.0,1.0,0.286,21.0,6.0,0.9,10.0,9.0,40:00,1.0,2.0,22.0,4.0,2.0,3.0,40.0
30915,2016-02-21,3.0,0.0,4.0,0.0,0.0,0.0,0.375,16.0,6.0,0.9,10.0,9.0,36:04,1.0,4.0,21.0,5.0,0.0,4.0,36.06666666666667
29957,2016-02-22,2.0,0.0,3.0,0.333,3.0,1.0,0.471,17.0,8.0,0.714,7.0,5.0,31:54,0.0,2.0,22.0,3.0,3.0,0.0,31.9
28123,2016-02-24,4.0,0.0,1.0,1.0,2.0,2.0,0.579,19.0,11.0,0.875,8.0,7.0,37:52,3.0,1.0,31.0,4.0,2.0,2.0,37.86666666666667
29276,2016-02-26,2.0,0.0,6.0,0.0,1.0,0.0,0.091,11.0,1.0,1.0,4.0,4.0,32:19,0.0,3.0,6.0,6.0,1.0,2.0,32.31666666666667
29881,2016-02-28,7.0,1.0,2.0,0.0,1.0,0.0,0.429,21.0,9.0,0.667,3.0,2.0,35:12,2.0,2.0,20.0,4.0,0.0,0.0,35.2
27569,2016-03-02,0.0,0.0,4.0,0.0,1.0,0.0,0.733,15.0,11.0,0.818,11.0,9.0,34:55,1.0,4.0,31.0,5.0,0.0,0.0,34.916666666666664
29890,2016-03-04,2.0,0.0,2.0,0.0,0.0,0.0,0.368,19.0,7.0,0.96,25.0,24.0,36:40,1.0,3.0,38.0,3.0,0.0,4.0,36.666666666666664
