id,date,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,total_min
27820,2015-10-28,6.0,0.0,2.0,0.5,4.0,2.0,0.471,17.0,8.0,0.833,6.0,5.0,38:58,1.0,4.0,23.0,3.0,2.0,5.0,38.96666666666667
27689,2015-10-30,9.0,2.0,6.0,0.0,1.0,0.0,0.273,11.0,3.0,0.8,10.0,8.0,34:14,1.0,4.0,14.0,7.0,3.0,3.0,34.233333333333334
28885,2015-11-01,7.0,0.0,3.0,0.2,5.0,1.0,0.5,10.0,5.0,1.0,4.0,4.0,29:19,2.0,3.0,15.0,5.0,4.0,1.0,29.316666666666666
29251,2015-11-03,10.0,2.0,5.0,0.8,5.0,4.0,0.6,15.0,9.0,1.0,5.0,5.0,36:49,0.0,4.0,27.0,5.0,3.0,4.0,36.81666666666667
31100,2015-11-04,1.0,0.0,4.0,0.375,8.0,3.0,0.357,14.0,5.0,0.667,6.0,4.0,33:51,0.0,4.0,17.0,4.0,2.0,5.0,33.85
29940,2015-11-06,3.0,0.0,4.0,0.429,7.0,3.0,0.375,16.0,6.0,0.667,3.0,2.0,31:44,1.0,3.0,17.0,5.0,1.0,3.0,31.733333333333334
31105,2015-11-08,8.0,0.0,5.0,0.25,8.0,2.0,0.25,16.0,4.0,0.833,6.0,5.0,36:52,1.0,2.0,15.0,6.0,1.0,2.0,36.86666666666667
29414,2015-11-10,9.0,1.0,5.0,0.4,5.0,2.0,0.444,18.0,8.0,0.714,7.0,5.0,36:59,1.0,5.0,23.0,6.0,3.0,4.0,36.983333333333334
29036,2015-11-11,8.0,0.0,3.0,0.333,6.0,2.0,0.5,12.0,6.0,0.9,10.0,9.0,28:57,0.0,2.0,23.0,3.0,2.0,2.0,28.95
31109,2015-11-13,5.0,1.0,6.0,0.5,8.0,4.0,0.308,13.0,4.0,1.0,8.0,8.0,34:38,0.0,1.0,20.0,6.0,4.0,2.0,34.63333333333333
29418,2015-11-15,7.0,1.0,2.0,0.5,12.0,6.0,0.421,19.0,8.0,0.0,0.0,0.0,38:55,0.0,3.0,22.0,2.0,4.0,5.0,38.916666666666664
29841,2015-11-17,3.0,1.0,3.0,0.286,7.0,2.0,0.467,15.0,7.0,1.0,12.0,12.0,38:37,3.0,6.0,28.0,6.0,2.0,2.0,38.61666666666667
30571,2015-11-18,6.0,0.0,3.0,0.143,7.0,1.0,0.353,17.0,6.0,1.0,7.0,7.0,37:13,0.0,2.0,20.0,3.0,3.0,5.0,37.21666666666667
31112,2015-11-20,5.0,0.0,5.0,0.636,11.0,7.0,0.438,16.0,7.0,1.0,4.0,4.0,36:13,0.0,2.0,25.0,5.0,3.0,1.0,36.21666666666667
29424,2015-11-22,10.0,0.0,2.0,0.25,4.0,1.0,0.182,11.0,2.0,1.0,8.0,8.0,37:36,1.0,4.0,13.0,3.0,3.0,4.0,37.6
32177,2015-11-25,6.0,1.0,2.0,0.333,6.0,2.0,0.647,17.0,11.0,0.6,5.0,3.0,37:35,1.0,2.0,27.0,3.0,4.0,0.0,37.583333333333336
32572,2015-11-28,3.0,1.0,6.0,0.545,11.0,6.0,0.474,19.0,9.0,0.75,4.0,3.0,33:56,1.0,5.0,27.0,7.0,2.0,6.0,33.93333333333333
29431,2015-11-29,5.0,0.0,7.0,0.444,9.0,4.0,0.357,14.0,5.0,1.0,3.0,3.0,33:31,1.0,4.0,17.0,8.0,1.0,3.0,33.516666666666666
32742,2015-12-02,5.0,0.0,5.0,0.286,7.0,2.0,0.529,17.0,9.0,0.917,12.0,11.0,37:15,0.0,5.0,31.0,5.0,2.0,2.0,37.25
27397,2015-12-03,8.0,2.0,5.0,0.3,10.0,3.0,0.25,16.0,4.0,0.714,7.0,5.0,36:39,1.0,2.0,16.0,6.0,4.0,3.0,36.65
29063,2015-12-05,7.0,1.0,2.0,0.6,10.0,6.0,0.538,26.0,14.0,0.875,8.0,7.0,38:29,1.0,2.0,41.0,3.0,4.0,1.0,38.483333333333334
32188,2015-12-07,6.0,0.0,6.0,0.455,11.0,5.0,0.474,19.0,9.0,1.0,4.0,4.0,37:58,1.0,1.0,27.0,7.0,0.0,2.0,37.96666666666667
27306,2015-12-09,8.0,0.0,5.0,0.333,3.0,1.0,0.545,11.0,6.0,1.0,6.0,6.0,37:12,0.0,2.0,19.0,5.0,1.0,4.0,37.2
29439,2015-12-11,5.0,2.0,7.0,0.25,8.0,2.0,0.313,16.0,5.0,0.0,0.0,0.0,35:17,0.0,3.0,12.0,7.0,1.0,5.0,35.28333333333333
27309,2015-12-13,3.0,3.0,5.0,0.375,8.0,3.0,0.333,15.0,5.0,0.75,4.0,3.0,34:59,0.0,1.0,16.0,5.0,1.0,2.0,34.983333333333334
32445,2015-12-14,4.0,0.0,2.0,0.4,5.0,2.0,0.5,14.0,7.0,1.0,4.0,4.0,34:08,0.0,5.0,20.0,2.0,1.0,5.0,34.13333333333333
27693,2015-12-17,7.0,0.0,3.0,0.176,17.0,3.0,0.207,29.0,6.0,0.714,7.0,5.0,42:23,1.0,3.0,20.0,4.0,1.0,0.0,42.38333333333333
29071,2015-12-18,4.0,0.0,3.0,0.25,4.0,1.0,0.444,18.0,8.0,1.0,4.0,4.0,37:54,0.0,2.0,21.0,3.0,4.0,1.0,37.9
32197,2015-12-20,4.0,0.0,2.0,0.167,6.0,1.0,0.308,13.0,4.0,0.8,5.0,4.0,24:42,3.0,2.0,13.0,5.0,1.0,1.0,24.7
32449,2015-12-22,7.0,1.0,10.0,0.5,4.0,2.0,0.462,13.0,6.0,1.0,3.0,3.0,37:57,0.0,2.0,17.0,10.0,0.0,2.0,37.95
