id,date,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,total_min
29073,2015-12-20,4.0,0.0,1.0,1.0,2.0,2.0,0.417,12.0,5.0,0.0,0.0,0.0,17:04,0.0,1.0,12.0,1.0,2.0,1.0,17.066666666666666
32023,2015-12-23,4.0,0.0,0.0,0.0,1.0,0.0,0.143,7.0,1.0,1.0,3.0,3.0,18:57,1.0,2.0,5.0,1.0,0.0,2.0,18.95
27417,2015-12-25,2.0,0.0,0.0,0.0,6.0,0.0,0.267,15.0,4.0,1.0,5.0,5.0,26:14,3.0,1.0,13.0,3.0,1.0,2.0,26.233333333333334
27419,2015-12-28,2.0,0.0,1.0,0.286,7.0,2.0,0.438,16.0,7.0,1.0,6.0,6.0,24:10,0.0,0.0,22.0,1.0,1.0,1.0,24.166666666666668
28204,2016-01-02,5.0,0.0,1.0,0.0,4.0,0.0,0.333,12.0,4.0,0.714,7.0,5.0,21:26,1.0,1.0,13.0,2.0,0.0,1.0,21.433333333333334
27424,2016-01-04,8.0,0.0,4.0,0.4,5.0,2.0,0.625,16.0,10.0,1.0,3.0,3.0,28:44,2.0,1.0,25.0,6.0,0.0,1.0,28.733333333333334
27852,2016-01-06,3.0,1.0,3.0,0.25,4.0,1.0,0.636,22.0,14.0,0.6,5.0,3.0,33:53,2.0,1.0,32.0,5.0,2.0,4.0,33.88333333333333
32605,2016-01-08,2.0,0.0,0.0,0.333,3.0,1.0,0.417,12.0,5.0,1.0,2.0,2.0,27:00,2.0,3.0,13.0,2.0,0.0,4.0,27.0
28065,2016-01-10,2.0,1.0,5.0,0.167,6.0,1.0,0.2,15.0,3.0,1.0,1.0,1.0,30:49,0.0,2.0,8.0,5.0,2.0,2.0,30.816666666666666
27430,2016-01-12,9.0,0.0,2.0,0.375,8.0,3.0,0.4,20.0,8.0,0.75,4.0,3.0,38:50,0.0,2.0,22.0,2.0,1.0,3.0,38.833333333333336
29463,2016-01-14,4.0,0.0,2.0,0.4,5.0,2.0,0.353,17.0,6.0,1.0,2.0,2.0,32:26,0.0,1.0,16.0,2.0,1.0,3.0,32.43333333333333
28068,2016-01-15,1.0,1.0,4.0,0.2,5.0,1.0,0.529,17.0,9.0,0.8,5.0,4.0,29:34,0.0,2.0,23.0,4.0,0.0,1.0,29.566666666666666
28909,2016-01-18,3.0,0.0,3.0,0.333,3.0,1.0,0.273,11.0,3.0,1.0,1.0,1.0,22:36,2.0,0.0,8.0,5.0,0.0,2.0,22.6
28074,2016-01-20,5.0,0.0,1.0,0.5,2.0,1.0,0.571,7.0,4.0,0.0,0.0,0.0,21:17,0.0,0.0,9.0,1.0,0.0,2.0,21.283333333333335
28075,2016-01-21,4.0,0.0,1.0,0.5,4.0,2.0,0.444,18.0,8.0,1.0,3.0,3.0,28:32,1.0,3.0,21.0,2.0,1.0,1.0,28.533333333333335
28913,2016-01-23,3.0,1.0,1.0,0.0,2.0,0.0,0.313,16.0,5.0,1.0,1.0,1.0,31:11,2.0,1.0,11.0,3.0,2.0,0.0,31.183333333333334
29270,2016-01-25,4.0,0.0,6.0,0.25,4.0,1.0,0.389,18.0,7.0,1.0,2.0,2.0,27:58,3.0,1.0,17.0,9.0,0.0,4.0,27.966666666666665
29943,2016-01-27,3.0,0.0,3.0,0.0,3.0,0.0,0.364,11.0,4.0,0.0,0.0,0.0,22:25,1.0,0.0,8.0,4.0,3.0,3.0,22.416666666666668
30913,2016-01-29,2.0,0.0,4.0,0.0,3.0,0.0,0.579,19.0,11.0,0.857,7.0,6.0,32:25,0.0,2.0,28.0,4.0,1.0,1.0,32.416666666666664
27446,2016-01-30,6.0,0.0,0.0,0.0,2.0,0.0,0.529,17.0,9.0,0.75,4.0,3.0,36:29,1.0,2.0,21.0,1.0,2.0,1.0,36.483333333333334
27551,2016-02-01,7.0,0.0,3.0,0.25,4.0,1.0,0.5,20.0,10.0,1.0,4.0,4.0,40:59,0.0,2.0,25.0,3.0,0.0,3.0,40.983333333333334
28088,2016-02-03,5.0,0.0,1.0,0.25,4.0,1.0,0.588,17.0,10.0,1.0,5.0,5.0,36:37,0.0,4.0,26.0,1.0,1.0,1.0,36.61666666666667
28213,2016-02-05,6.0,0.0,3.0,0.0,2.0,0.0,0.467,15.0,7.0,0.833,6.0,5.0,37:29,0.0,3.0,19.0,3.0,0.0,2.0,37.483333333333334
28095,2016-02-06,3.0,0.0,4.0,0.333,9.0,3.0,0.524,21.0,11.0,1.0,4.0,4.0,37:03,0.0,1.0,29.0,4.0,2.0,3.0,37.05
27558,2016-02-08,12.0,1.0,1.0,0.625,8.0,5.0,0.619,21.0,13.0,1.0,1.0,1.0,35:00,2.0,5.0,32.0,3.0,0.0,2.0,35.0
28217,2016-02-10,7.0,0.0,2.0,0.5,6.0,3.0,0.625,24.0,15.0,0.5,4.0,2.0,35:50,1.0,5.0,35.0,3.0,2.0,1.0,35.833333333333336
28106,2016-02-18,4.0,0.0,0.0,0.333,3.0,1.0,0.333,18.0,6.0,1.0,6.0,6.0,31:26,1.0,3.0,19.0,1.0,2.0,2.0,31.433333333333334
28117,2016-02-21,1.0,0.0,1.0,0.0,1.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,9:16,0.0,1.0,2.0,1.0,0.0,0.0,9.266666666666667
28937,2016-02-22,5.0,0.0,1.0,0.429,7.0,3.0,0.524,21.0,11.0,0.833,6.0,5.0,37:43,0.0,5.0,30.0,1.0,2.0,2.0,37.71666666666667
32061,2016-02-24,5.0,1.0,3.0,0.25,4.0,1.0,0.588,17.0,10.0,0.5,4.0,2.0,32:09,3.0,2.0,23.0,6.0,1.0,1.0,32.15
29276,2016-02-26,1.0,0.0,0.0,0.0,2.0,0.0,0.364,11.0,4.0,1.0,2.0,2.0,31:11,1.0,2.0,10.0,1.0,1.0,2.0,31.183333333333334
28223,2016-02-28,6.0,0.0,1.0,0.5,8.0,4.0,0.45,20.0,9.0,1.0,6.0,6.0,32:11,0.0,4.0,28.0,1.0,0.0,4.0,32.18333333333333
29883,2016-02-29,6.0,0.0,2.0,0.5,2.0,1.0,0.385,13.0,5.0,1.0,11.0,11.0,35:21,1.0,3.0,22.0,3.0,1.0,4.0,35.35
29891,2016-03-04,8.0,0.0,4.0,0.5,6.0,3.0,0.444,18.0,8.0,1.0,2.0,2.0,31:41,1.0,1.0,21.0,5.0,1.0,1.0,31.683333333333334
