id,date,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,total_min
31090,2015-10-27,5.0,0.0,10.0,0.2,5.0,1.0,0.545,22.0,12.0,0.0,3.0,0.0,36:04,0.0,3.0,25.0,10.0,1.0,1.0,36.06666666666667
31093,2015-10-28,5.0,0.0,6.0,0.0,3.0,0.0,0.308,13.0,4.0,0.5,8.0,4.0,30:48,1.0,1.0,12.0,7.0,3.0,3.0,30.8
28882,2015-10-30,4.0,0.0,3.0,0.0,2.0,0.0,0.684,19.0,13.0,0.6,5.0,3.0,33:56,2.0,3.0,29.0,5.0,1.0,4.0,33.93333333333333
28664,2015-11-02,11.0,2.0,9.0,0.0,3.0,0.0,0.474,19.0,9.0,1.0,4.0,4.0,33:20,0.0,3.0,22.0,9.0,4.0,3.0,33.333333333333336
28666,2015-11-04,3.0,1.0,3.0,0.2,5.0,1.0,0.391,23.0,9.0,0.571,7.0,4.0,35:04,2.0,1.0,23.0,5.0,4.0,3.0,35.06666666666667
31103,2015-11-06,13.0,0.0,4.0,0.6,5.0,3.0,0.545,22.0,12.0,0.667,6.0,4.0,36:20,0.0,1.0,31.0,4.0,2.0,2.0,36.333333333333336
29033,2015-11-08,4.0,0.0,6.0,0.0,3.0,0.0,0.435,23.0,10.0,0.643,14.0,9.0,35:01,0.0,0.0,29.0,6.0,0.0,2.0,35.016666666666666
27830,2015-11-10,8.0,0.0,4.0,0.333,3.0,1.0,0.579,19.0,11.0,0.667,12.0,8.0,37:51,3.0,2.0,31.0,7.0,2.0,5.0,37.85
30426,2015-11-13,6.0,1.0,3.0,0.0,2.0,0.0,0.571,21.0,12.0,0.7,10.0,7.0,39:23,0.0,4.0,31.0,3.0,2.0,3.0,39.38333333333333
29839,2015-11-14,5.0,3.0,8.0,0.455,11.0,5.0,0.481,27.0,13.0,0.5,12.0,6.0,45:03,4.0,3.0,37.0,12.0,1.0,7.0,45.05
29044,2015-11-17,3.0,0.0,6.0,0.571,7.0,4.0,0.524,21.0,11.0,0.8,5.0,4.0,39:48,0.0,3.0,30.0,6.0,0.0,4.0,39.8
31110,2015-11-19,6.0,0.0,6.0,1.0,1.0,1.0,0.692,13.0,9.0,0.889,9.0,8.0,34:59,3.0,3.0,27.0,9.0,0.0,4.0,34.983333333333334
29047,2015-11-21,8.0,2.0,9.0,0.5,2.0,1.0,0.533,15.0,8.0,1.0,2.0,2.0,33:20,2.0,1.0,19.0,11.0,0.0,3.0,33.333333333333336
29049,2015-11-23,13.0,0.0,6.0,0.0,2.0,0.0,0.5,14.0,7.0,0.2,5.0,1.0,34:58,0.0,0.0,15.0,6.0,1.0,2.0,34.96666666666667
32177,2015-11-25,8.0,0.0,4.0,0.2,5.0,1.0,0.375,16.0,6.0,0.917,12.0,11.0,39:46,2.0,1.0,24.0,6.0,0.0,2.0,39.766666666666666
32431,2015-11-27,5.0,0.0,11.0,0.4,5.0,2.0,0.4,20.0,8.0,0.778,9.0,7.0,38:13,2.0,2.0,25.0,13.0,0.0,3.0,38.21666666666667
31611,2015-11-28,5.0,0.0,7.0,0.167,6.0,1.0,0.455,22.0,10.0,0.833,6.0,5.0,35:43,2.0,0.0,26.0,9.0,1.0,2.0,35.71666666666667
32741,2015-12-01,4.0,1.0,9.0,0.0,3.0,0.0,0.4,20.0,8.0,1.0,8.0,8.0,37:23,4.0,3.0,24.0,13.0,1.0,9.0,37.38333333333333
29062,2015-12-04,8.0,1.0,5.0,0.2,5.0,1.0,0.448,29.0,13.0,0.909,11.0,10.0,44:47,2.0,4.0,37.0,7.0,1.0,5.0,44.78333333333333
32579,2015-12-08,3.0,3.0,9.0,0.333,3.0,1.0,0.583,24.0,14.0,1.0,4.0,4.0,40:20,1.0,3.0,33.0,10.0,2.0,2.0,40.333333333333336
31623,2015-12-11,8.0,0.0,3.0,0.0,1.0,0.0,0.667,15.0,10.0,0.625,8.0,5.0,29:25,0.0,0.0,25.0,3.0,4.0,4.0,29.416666666666668
32018,2015-12-15,3.0,1.0,6.0,0.0,3.0,0.0,0.5,20.0,10.0,1.0,4.0,4.0,35:42,1.0,3.0,24.0,7.0,2.0,6.0,35.7
27409,2015-12-17,11.0,0.0,7.0,0.4,5.0,2.0,0.444,27.0,12.0,0.875,8.0,7.0,39:37,2.0,2.0,33.0,9.0,2.0,7.0,39.61666666666667
29073,2015-12-20,4.0,1.0,5.0,0.0,3.0,0.0,0.588,17.0,10.0,0.75,4.0,3.0,25:19,0.0,0.0,23.0,5.0,3.0,2.0,25.316666666666666
32023,2015-12-23,5.0,0.0,8.0,0.0,3.0,0.0,0.409,22.0,9.0,0.857,7.0,6.0,37:43,1.0,2.0,24.0,9.0,0.0,1.0,37.71666666666667
27417,2015-12-25,2.0,2.0,7.0,0.2,5.0,1.0,0.385,26.0,10.0,0.444,9.0,4.0,38:33,2.0,0.0,25.0,9.0,1.0,4.0,38.55
28052,2015-12-26,5.0,0.0,4.0,0.0,3.0,0.0,0.308,13.0,4.0,0.8,5.0,4.0,26:27,0.0,2.0,12.0,4.0,0.0,3.0,26.45
27419,2015-12-28,7.0,1.0,4.0,0.2,5.0,1.0,0.4,10.0,4.0,0.556,9.0,5.0,35:23,0.0,3.0,14.0,4.0,2.0,2.0,35.38333333333333
