id,date,home_team_score,period,postseason,season,status,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name,outcome,latitude,longitude
33748,2016-04-16,90,4,True,2015,Final,100,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,LOSS,43.643475,-79.379379
33750,2016-04-18,98,4,True,2015,Final,87,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,WIN,43.643475,-79.379379
33880,2016-04-21,85,4,True,2015,Final,101,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,WIN,39.763889,-86.155556
33755,2016-04-23,100,4,True,2015,Final,83,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,LOSS,39.763889,-86.155556
33885,2016-04-26,102,4,True,2015,Final,99,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,WIN,43.643475,-79.379379
33888,2016-04-29,101,4,True,2015,Final,83,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,LOSS,39.763889,-86.155556
33889,2016-05-01,89,4,True,2015,Final,84,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,WIN,43.643475,-79.379379
34017,2016-05-03,96,4,True,2015,Final,102,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,16,MIA,Miami,East,Southeast,Miami Heat,Heat,LOSS,43.643475,-79.379379
33893,2016-05-05,96,4,True,2015,Final,92,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,16,MIA,Miami,East,Southeast,Miami Heat,Heat,WIN,43.643475,-79.379379
34019,2016-05-07,91,4,True,2015,Final,95,16,MIA,Miami,East,Southeast,Miami Heat,Heat,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,WIN,25.781441,-80.188332
