id,date,home_team_score,period,postseason,season,status,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name,outcome,latitude,longitude
27820,2015-10-28,106,4,False,2015,Final,99,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,WIN,43.643475,-79.379379
27689,2015-10-30,103,4,False,2015,Final,113,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,WIN,42.366291,-71.06263
28885,2015-11-01,106,4,False,2015,Final,87,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,WIN,43.643475,-79.379379
29251,2015-11-03,91,4,False,2015,Final,102,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,WIN,32.790527,-96.810883
31100,2015-11-04,98,4,False,2015,Final,103,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,WIN,35.4634,-97.5151
29940,2015-11-06,92,4,False,2015,Final,87,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,LOSS,28.539167,-81.383611
31105,2015-11-08,96,4,False,2015,Final,76,16,MIA,Miami,East,Southeast,Miami Heat,Heat,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,LOSS,25.781441,-80.188332
29414,2015-11-10,109,4,False,2015,Final,111,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,LOSS,43.643475,-79.379379
29036,2015-11-11,103,4,False,2015,Final,119,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,WIN,39.901111,-75.171944
31109,2015-11-13,100,4,False,2015,Final,81,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,WIN,43.643475,-79.379379
